product_id,product_name,category,price,cost,stock_quantity,reorder_level
71,Exclusive homogeneous interface,Toys,390.44,278.83,410,18
72,Customer-focused 24/7 contingency,Electronics,482.53,355.42,200,70
73,Multi-tiered bifurcated groupware,Sports,222.03,105.54,440,16
74,Intuitive empowering monitoring,Clothing,20.63,7.57,80,72
75,Devolved needs-based orchestration,Electronics,31.76,12.54,168,17
76,Distributed system-worthy encryption,Books,469.65,241.02,437,79
77,Exclusive disintermediate analyzer,Home,355.61,227.31,486,63
78,Cross-group encompassing matrices,Books,488.95,229.77,10,80
79,Total encompassing project,Sports,81.93,101.51,-131,93
80,Compatible mission-critical strategy,Beauty,432.48,310.85,170,77
81,Mandatory client-server functionalities,Electronics,469.65,203.75,263,61
82,Face-to-face 24/7 superstructure,Electronics,218.65,127.45,27,71
83,Expanded methodical productivity,Electronics,18.24,12.24,407,78
84,Distributed executive open system,Books,476.71,233.19,377,65
85,Synchronized leadingedge framework,Beauty,260.62,107.47,383,25
86,Up-sized mission-critical intranet,Electronics,60.14,32.95,222,67
87,Integrated web-enabled synergy,Home,357.89,130.84,285,17
88,Reactive mobile neural-net,Electronics,381.76,252.91,288,73
89,Seamless interactive success,Clothing,481.9,350.67,372,51
90,Optional multi-state orchestration,Books,163.07,57.99,95,66
91,Compatible didactic pricing structure,Beauty,77.78,33.92,215,62
92,Total scalable success,Toys,37.78,25.12,325,91
93,Distributed real-time synergy,Beauty,35.36,24.34,344,72
94,Assimilated secondary benchmark,Books,142.13,168,471,22
95,Sharable tangible array,Electronics,451.98,252.51,353,15
96,Visionary solution-oriented emulation,Toys,221.86,153.75,397,79
97,,Electronics,456.76,326.2,44,38
98,Upgradable multi-state approach,Home,397.75,174.95,499,12
99,Function-based composite matrix,Beauty,244.57,91.25,103,65
100,Persistent intangible framework,Clothing,475.47,260.34,365,84
101,Cloned global knowledgebase,Books,48.82,32.33,103,61
102,Organic system-worthy flexibility,,232.6,173.72,389,38
103,Proactive client-driven budgetary management,Electronics,319.23,123.1,236,32
104,Inverse heuristic groupware,Beauty,228.61,96.02,486,48
105,Multi-lateral bandwidth-monitored toolset,Beauty,322.16,233.52,230,51
106,Networked tangible knowledge user,Beauty,194.31,143.37,392,81
107,Inverse fault-tolerant utilization,Toys,62.71,27.42,13,20
108,Expanded disintermediate utilization,Electronics,245.29,119.28,85,97
109,Persistent contextually-based hub,Home,110.02,81.23,236,25
110,Innovative intermediate encoding,Sports,41.16,15.74,87,70
111,Reverse-engineered explicit moderator,Sports,313.99,216.61,247,25
112,Sharable actuating contingency,Books,431.59,279.27,269,70
113,Innovative clear-thinking toolset,Toys,244,127.67,67,15
114,Distributed didactic challenge,Sports,INVALID,118.81,413,45
115,Enhanced system-worthy project,Electronics,200.46,142.47,278,47
116,Reverse-engineered motivating structure,Home,366.81,218.43,174,44
117,Universal content-based firmware,Clothing,464.15,303.64,403,50
118,Proactive human-resource moderator,Toys,220.97,158.1,127,88
119,Enterprise-wide eco-centric benchmark,Clothing,418.42,268.65,381,99
120,User-friendly multimedia hierarchy,Sports,278.45,143.98,16,69
121,Devolved bi-directional Internet solution,Clothing,371.13,411.78,162,62
122,Integrated motivating system engine,Home,77.88,35.22,339,67
123,Function-based bandwidth-monitored collaboration,Beauty,INVALID,10.32,184,77
124,Re-engineered system-worthy model,Home,120.98,56.2,148,73
125,Object-based actuating implementation,Sports,479.65,190.53,373,19
126,Re-engineered leadingedge product,,43.14,25.68,388,11
127,Persevering next generation leverage,Electronics,295.56,145.86,102,56
128,Quality-focused secondary benchmark,Sports,321.92,220.7,482,45
129,Advanced systematic structure,Home,271.71,102.67,139,99
130,Pre-emptive mission-critical archive,Electronics,228.86,100.06,265,10
131,Horizontal bi-directional secured line,Beauty,409,167.34,339,85
132,Up-sized demand-driven knowledge user,Sports,492.07,225.12,445,75
133,Total background software,Sports,466.39,163.32,81,30
134,Synergistic needs-based interface,Home,488.33,301.92,108,29
135,Polarized client-server contingency,Electronics,449.55,244.96,395,93
136,Multi-channeled 24hour artificial intelligence,Clothing,133,96.72,302,24
137,Fundamental full-range analyzer,Electronics,77.04,30.22,155,40
138,Cross-group next generation Graphic Interface,Sports,201.37,74.2,0,23
139,Enterprise-wide 3rdgeneration product,Beauty,17.17,7.24,18,40
140,Multi-channeled demand-driven Graphic Interface,Beauty,12.31,5.81,139,60
141,Decentralized intangible Local Area Network,Home,340.56,253.84,-137,98
142,Centralized 24/7 productivity,Clothing,5.07,1.85,1,18
143,Total attitude-oriented definition,Home,287.17,192.33,487,72
144,Customer-focused dedicated pricing structure,Toys,422.91,216.97,368,88
145,Extended dynamic analyzer,Electronics,61.41,34.96,216,17
146,Vision-oriented hybrid analyzer,Toys,393.35,200.91,482,86
147,,Sports,343.86,166.17,232,20
148,Assimilated asynchronous pricing structure,Clothing,160.17,112.13,93,99
149,Profit-focused static workforce,Books,86.85,32.87,131,21
150,Switchable systematic definition,Beauty,266.36,152.48,171,14
151,Fundamental even-keeled infrastructure,Sports,457.74,265.81,40,96
152,Robust contextually-based utilization,Clothing,107.69,48.07,251,15
153,Down-sized responsive structure,Clothing,361.39,164.61,24,22
154,Inverse mobile website,Home,270.99,129.54,335,53
155,Re-engineered incremental product,Sports,125.83,83.87,432,90
156,Triple-buffered incremental protocol,Clothing,97.54,36.97,301,71
157,Managed logistical hub,Sports,386.36,155.73,205,34
158,Reverse-engineered user-facing database,Books,11.43,5.07,483,64
159,Organic intermediate productivity,Clothing,191.73,110.18,28,30
160,Pre-emptive 3rdgeneration model,Beauty,354.3,145.01,311,16
161,Distributed leadingedge alliance,Beauty,124.2,58.66,188,32
162,Reduced context-sensitive throughput,Home,201.6,112.38,45,10
163,Customizable asynchronous intranet,Sports,135.86,60.39,149,90
164,Compatible maximized benchmark,Beauty,129.39,53.1,120,86
165,Decentralized 3rdgeneration product,Sports,96.1,62.51,191,60
166,Function-based system-worthy projection,Books,472.92,331.57,333,72
167,Profit-focused multi-tasking infrastructure,Electronics,244.17,97.06,80,77
168,Focused modular task-force,Sports,458.81,161.29,384,88
169,Advanced disintermediate functionalities,Electronics,79.87,55.3,269,45
170,Multi-lateral bi-directional infrastructure,Sports,226.84,124.74,492,23
171,Cross-group clear-thinking access,Toys,332.47,233.45,56,67
172,Programmable radical archive,Books,421.19,289.74,294,12
173,Streamlined bifurcated Internet solution,Toys,387.19,189.72,385,34
174,Automated systemic architecture,Home,374.02,278.5,275,98
175,Exclusive user-facing protocol,Clothing,395.83,212.33,236,16
176,Customer-focused next generation open architecture,Toys,326.62,236.69,128,99
177,Optional multimedia adapter,Beauty,489.77,307.09,165,65
178,Multi-channeled tangible paradigm,Clothing,6.54,4.08,150,30
179,Inverse holistic forecast,Home,278.32,100.85,115,19
180,Synchronized interactive moratorium,Home,400.69,144.61,309,66
181,Ameliorated leadingedge success,Books,INVALID,218.77,79,53
182,Upgradable background algorithm,Beauty,363.29,254.71,69,56
183,Seamless 24/7 approach,Home,23.53,13.26,243,64
184,Ameliorated interactive flexibility,Sports,305.17,122.8,14,58
185,Function-based national framework,Clothing,300.01,184.27,227,94
186,Assimilated heuristic knowledge user,Home,254.51,129.3,299,78
187,Integrated 5thgeneration capability,Books,150.01,68.08,398,99
188,Stand-alone hybrid framework,Books,388.14,137.54,278,48
189,Future-proofed web-enabled functionalities,Beauty,384.43,156.62,153,65
190,Configurable heuristic analyzer,Beauty,332.4,228.42,97,99
191,User-centric didactic moratorium,Home,351.21,222.66,238,14
192,Decentralized intangible groupware,Beauty,261.47,102.77,11,98
193,Multi-lateral non-volatile knowledge user,Electronics,481.38,217.65,28,60
194,Horizontal bifurcated methodology,Sports,475.58,295.18,228,62
195,Multi-channeled motivating contingency,,149.74,54.37,162,41
196,Customer-focused leadingedge interface,Books,217.9,95.82,452,44
197,Optional mission-critical conglomeration,Home,424.96,221.9,470,75
198,Face-to-face static policy,Toys,233.75,114.46,228,44
199,Up-sized encompassing firmware,Electronics,137.54,60.36,437,54
200,Proactive responsive installation,Toys,368.46,241.53,311,76
201,Customer-focused foreground Graphic Interface,Beauty,50.17,32.68,341,40
202,Horizontal bi-directional utilization,Clothing,70.54,52.43,242,12
203,Secured multimedia migration,Clothing,158.41,108.94,15,49
204,Triple-buffered leadingedge system engine,Toys,63.67,32.36,442,76
205,Reactive mission-critical superstructure,Toys,120.52,58.05,322,37
206,Function-based zero-defect protocol,Books,22.53,14.72,221,34
207,Networked zero-defect initiative,Sports,343.42,208.86,414,70
208,Automated 3rdgeneration product,Beauty,42.19,19.15,307,56
209,Visionary 24/7 concept,Toys,425.28,213.85,388,15
210,Implemented content-based synergy,Beauty,114.04,43.67,199,32
211,Monitored regional projection,Electronics,274.3,148.82,451,36
212,Intuitive coherent model,Beauty,10,3.97,368,18
213,Right-sized multimedia intranet,Electronics,229.46,106.07,60,20
214,Open-source optimal ability,Beauty,420.32,302.62,270,27
215,Future-proofed scalable encryption,Clothing,29.11,12.98,251,92
216,Realigned foreground framework,Books,214.08,134.07,193,85
217,,Books,469.61,172.33,29,89
218,Advanced non-volatile middleware,Toys,320.63,117.77,413,45
219,Enhanced analyzing function,Home,400.29,176.2,129,84
220,Universal clear-thinking capability,Beauty,159.61,119.01,236,34
221,Organized value-added Graphical User Interface,Toys,401.1,434,-67,28
222,Function-based client-server projection,Electronics,277.87,172.51,366,83
223,Focused 4thgeneration software,Sports,436.78,312.87,136,58
224,Cross-group encompassing firmware,Beauty,8.76,3.37,317,99
225,Enhanced object-oriented intranet,Electronics,315.26,224.01,366,79
226,Profit-focused 6thgeneration concept,Electronics,379.9,232.45,420,86
227,Cross-group homogeneous framework,Toys,245.04,92.72,388,33
228,Quality-focused transitional standardization,Toys,382.93,188.62,241,98
229,Right-sized client-driven moderator,Home,188.43,139.41,155,15
230,Sharable high-level system engine,Books,440.2,310.39,384,58
231,Cloned holistic pricing structure,Clothing,424.49,233.79,133,30
232,Organized systematic hierarchy,,272.98,96.59,250,14
233,Configurable static matrices,Books,398.25,212.19,308,49
234,Reverse-engineered asymmetric system engine,Clothing,206.28,135.59,431,19
235,Customizable coherent capacity,Clothing,352.6,182.06,280,49
236,Pre-emptive intangible forecast,Books,442.32,192.46,320,22
237,Monitored encompassing approach,Books,364.48,258.86,30,42
238,Object-based coherent product,Books,488.34,309.24,162,35
239,Persevering radical standardization,Sports,335,207.81,127,59
240,Team-oriented optimizing website,Sports,265.81,307.77,16,41
241,Re-contextualized grid-enabled functionalities,Beauty,375.02,253.27,317,74
242,Total optimal adapter,Home,429.58,202.37,96,37
243,Distributed dynamic contingency,Clothing,484.84,350.49,403,17
244,Stand-alone global array,Electronics,147.8,96.66,376,82
245,Up-sized needs-based intranet,Beauty,12.97,7.14,252,95
246,Triple-buffered scalable access,Electronics,144.29,88.41,247,22
247,Multi-tiered full-range frame,Toys,312.59,163.13,356,48
248,Progressive cohesive encoding,Home,457.76,261.5,470,90
249,Exclusive interactive neural-net,Toys,299.35,219.08,206,32
250,Reverse-engineered multi-state implementation,Electronics,135.08,96.81,107,47
251,Managed discrete product,Home,498.68,194.93,136,68
252,Front-line foreground emulation,Books,395.1,262.62,319,49
253,Pre-emptive attitude-oriented forecast,Clothing,421.31,282.74,21,14
254,Intuitive bifurcated matrices,Clothing,173.56,96.33,229,20
255,Total fresh-thinking capability,Clothing,461.44,218.39,410,24
256,Multi-tiered 6thgeneration algorithm,Toys,401.43,257.37,227,97
257,Implemented fresh-thinking data-warehouse,Electronics,458.24,178.42,162,66
258,Horizontal 24/7 info-mediaries,Sports,278.25,111.06,311,76
259,Reduced 5thgeneration support,Home,230.49,134.28,237,82
260,Re-engineered foreground approach,Electronics,104.01,43.92,38,95
261,Automated methodical initiative,Home,266.95,163.85,386,98
262,Decentralized disintermediate service-desk,Books,134.86,51.87,150,59
263,De-engineered analyzing standardization,Electronics,437.37,194.38,131,19
264,Upgradable well-modulated open system,Books,212.95,137.81,449,95
265,Optimized grid-enabled artificial intelligence,Electronics,26.96,16.57,205,89
266,Progressive dynamic capability,Electronics,56.73,34.87,240,19
267,Grass-roots 4thgeneration knowledge user,Home,222.34,118.05,64,88
268,Cross-platform zero tolerance emulation,Toys,141.69,72.31,217,73
269,Inverse transitional toolset,Clothing,177.81,107.12,413,72
270,User-friendly mobile process improvement,Books,155.09,61.64,155,71
271,Operative neutral service-desk,Books,162.55,94.11,134,20
272,Stand-alone heuristic protocol,Clothing,124.54,65.81,373,89
273,Multi-layered background Internet solution,Sports,162.21,76.37,386,37
274,Integrated disintermediate workforce,Toys,328.43,205.01,376,14
275,Multi-channeled reciprocal instruction set,Home,150.75,103.54,52,28
276,Phased non-volatile array,Toys,99.56,63.29,451,88
277,Versatile secondary pricing structure,Clothing,232.11,105.26,439,38
278,Business-focused demand-driven attitude,Toys,141.91,64.01,269,28
279,Networked explicit customer loyalty,Home,58.06,33.57,266,92
280,Optional logistical website,Toys,INVALID,187.69,310,91
281,,Toys,305.99,214.89,396,30
282,Right-sized multimedia task-force,Sports,107.56,77.45,8,55
283,Cross-group grid-enabled synergy,Books,199.61,96.67,453,99
284,Down-sized 4thgeneration knowledgebase,Beauty,319.05,167.79,147,89
285,Front-line solution-oriented adapter,Beauty,11.33,7.11,258,25
286,Reactive fresh-thinking initiative,Electronics,243.15,103.78,107,31
287,Inverse composite matrices,Books,61.17,39.95,489,13
288,Operative context-sensitive Local Area Network,Books,101.55,73.54,299,28
289,Quality-focused actuating capability,Sports,396.31,259.75,257,72
290,Persevering secondary analyzer,Home,420.44,308.96,340,52
291,Open-source 24hour strategy,Books,185.43,91.16,326,19
292,Synchronized executive open architecture,Sports,102.58,64.19,120,24
293,Versatile scalable superstructure,Books,222.54,84.69,2,57
294,Organic encompassing challenge,Sports,262.58,106.32,477,32
295,Managed discrete extranet,Home,299.01,139.68,12,79
296,Networked upward-trending neural-net,Books,316.76,158.2,87,11
297,Seamless object-oriented hierarchy,Toys,165.81,80.1,160,64
298,Up-sized multi-tasking portal,Toys,86.46,39.6,-178,84
299,Networked bandwidth-monitored Graphical User Interface,Toys,236.8,134.03,462,76
300,Horizontal heuristic productivity,Electronics,404.98,238.06,228,53
301,De-engineered holistic monitoring,Books,224.67,144.72,151,40
302,Virtual maximized intranet,Electronics,255.87,93.1,237,79
303,Profit-focused real-time access,Beauty,452.18,244.38,105,71
304,Re-contextualized cohesive software,Sports,183.37,102.05,372,40
305,Assimilated neutral Internet solution,Clothing,101.83,49.7,179,34
306,Adaptive 4thgeneration open system,Beauty,126.62,85.91,138,87
307,Innovative bifurcated software,Books,20.19,11.6,333,25
308,Diverse multi-state alliance,Beauty,186.06,86.17,3,38
309,Multi-tiered didactic infrastructure,Books,39.73,17.68,211,15
310,Persevering motivating collaboration,Books,238.88,107.24,97,93
311,Distributed regional intranet,Home,69.01,29.66,147,90
312,Progressive didactic array,Home,263.67,99.28,131,86
313,Enhanced dynamic open architecture,Sports,162.58,107.32,438,31
314,Fundamental background array,Books,423.49,195.14,310,64
315,Enhanced fault-tolerant firmware,Beauty,9.68,6.77,36,76
316,Synchronized mobile function,Home,225.48,99.82,237,88
317,Programmable 24/7 knowledgebase,Clothing,93.66,55.56,192,14
318,Multi-layered 5thgeneration hardware,Clothing,134.04,82.99,373,96
319,Compatible bottom-line ability,Clothing,66.45,31.57,377,48
320,Innovative tangible artificial intelligence,,141.2,91.22,91,52
321,Team-oriented optimal definition,Beauty,182.78,132.3,442,63
322,Fundamental optimal adapter,Home,364.49,156.03,40,57
323,Switchable even-keeled support,Electronics,11.3,5.93,155,88
324,Open-source demand-driven algorithm,Clothing,479.5,322.91,342,76
325,Decentralized didactic Graphical User Interface,Home,133.26,63.93,226,75
326,Robust reciprocal knowledgebase,Clothing,278.18,187.64,385,26
327,Exclusive multi-state firmware,Electronics,67.18,35.9,2,57
328,Managed 6thgeneration focus group,Electronics,204.62,80.72,379,19
329,Configurable modular standardization,Clothing,499.75,213.79,356,69
330,Ameliorated dynamic workforce,Clothing,151.73,100.76,402,55
331,Managed reciprocal data-warehouse,Sports,275.52,199.74,285,26
332,Grass-roots hybrid implementation,Electronics,83.17,41.82,134,53
333,Up-sized tertiary portal,Beauty,447.12,277.73,56,92
334,Operative 5thgeneration function,Toys,470.7,261.24,62,86
335,Organized empowering interface,Home,183.45,112.44,368,77
336,Decentralized secondary portal,Toys,383.18,242.85,77,29
337,Customer-focused analyzing Local Area Network,Clothing,197.88,118.66,415,92
338,Operative foreground customer loyalty,Books,260.04,108.24,98,72
339,Exclusive impactful Internet solution,Toys,136.36,54.64,123,14
340,Decentralized optimizing collaboration,Books,63.12,30.81,196,90
341,User-friendly zero administration secured line,Home,447.78,244.97,226,37
342,Synchronized zero tolerance open system,Clothing,380.66,187.05,469,96
343,User-centric optimal workforce,Books,411.96,225.57,131,57
344,Multi-layered human-resource database,Beauty,95.6,57.69,467,20
345,Enhanced 4thgeneration emulation,Toys,121.65,63.38,402,26
346,Compatible bifurcated implementation,Books,241.72,159.91,456,71
347,Virtual user-facing application,Clothing,387.86,201.45,65,24
348,Reverse-engineered 24/7 knowledgebase,Books,112.2,58.26,129,83
349,Upgradable web-enabled superstructure,Sports,469.65,295.9,463,35
350,Multi-layered systemic circuit,Electronics,224.1,95.74,6,72
351,User-centric transitional emulation,Books,488.9,209.16,80,48
352,Integrated bottom-line implementation,Electronics,422.56,182.08,231,12
353,Centralized 6thgeneration function,Beauty,484.77,221.54,274,77
354,Multi-tiered zero-defect hierarchy,Home,INVALID,70.16,23,39
355,Focused transitional structure,Home,241.62,174.34,295,77
356,Streamlined clear-thinking product,Books,342.88,186.73,134,37
357,Grass-roots solution-oriented encoding,Books,254.48,108.6,156,95
358,Vision-oriented maximized analyzer,Electronics,189.32,76.14,127,30
359,Advanced encompassing leverage,Toys,396.1,174.25,267,54
360,Customizable 24/7 groupware,Beauty,12.69,9.5,160,56
361,Ergonomic optimal secured line,Home,327.03,176.62,237,53
362,Extended local functionalities,Home,188.64,139.81,406,87
363,Reactive optimal complexity,Beauty,419.04,171.65,251,33
364,Profit-focused 3rdgeneration middleware,Sports,227.83,109.35,230,92
365,Horizontal tertiary middleware,Clothing,454.01,274.26,416,74
366,Customer-focused multimedia implementation,Home,379.62,149.35,247,86
367,Universal mission-critical framework,Sports,410.02,258.96,14,90
368,Robust asynchronous synergy,Electronics,77.76,41.29,438,36
369,Innovative client-driven definition,Clothing,100.45,51.92,433,14
370,Multi-channeled high-level matrices,Clothing,67.96,30.85,366,87
371,Optional bifurcated portal,Beauty,457.55,234.32,357,84
372,Assimilated uniform knowledge user,Clothing,18.03,9.88,233,13
373,Advanced systematic capacity,Clothing,304.33,126.58,2,58
374,Pre-emptive leadingedge firmware,Sports,288.89,184.76,275,44
375,Profit-focused value-added help-desk,Electronics,186.15,72.43,352,63
376,Versatile human-resource Internet solution,Home,8.75,4.68,228,76
377,Sharable incremental frame,Sports,119.89,47.03,392,78
378,Automated multimedia matrix,Clothing,491.94,233.59,169,48
379,Streamlined upward-trending success,,395.72,209.49,37,88
380,Ameliorated optimal success,Electronics,239.11,151.91,388,52
381,Operative object-oriented parallelism,Electronics,436.47,242.64,484,78
382,Centralized bandwidth-monitored ability,Toys,406.64,202.23,212,79
383,Enhanced exuding methodology,Electronics,271.86,151.77,252,56
384,Monitored responsive neural-net,Beauty,459.69,219.64,438,67
385,Face-to-face didactic artificial intelligence,Home,444.31,234.99,314,66
386,Profound well-modulated hardware,Clothing,105.53,39.1,33,19
387,Intuitive attitude-oriented software,Electronics,55.77,38.95,150,82
388,Right-sized asynchronous strategy,Home,187.39,122.37,70,37
389,Assimilated cohesive matrix,Books,412.1,203.61,357,58
390,Monitored hybrid complexity,Sports,164.5,85.42,107,62
391,Progressive systemic concept,Toys,234.75,128.76,174,54
392,Virtual uniform software,Electronics,86.01,48.73,152,10
393,Intuitive 3rdgeneration application,Sports,453.21,295.41,352,54
394,Advanced bandwidth-monitored circuit,Home,227.67,138.94,204,71
395,,Sports,249.03,112.02,488,70
396,Progressive attitude-oriented system engine,Home,461.61,278.39,358,87
397,Cross-group even-keeled portal,Toys,482.89,265.83,362,42
398,Expanded transitional model,Toys,443.52,304.8,40,94
399,Enterprise-wide responsive standardization,Clothing,372.7,213.23,262,57
400,Customer-focused 24/7 paradigm,Beauty,383.06,250.28,437,48
401,,Sports,438.86,265.29,398,15
402,Exclusive explicit application,Sports,427.36,282.65,418,52
403,Mandatory systemic flexibility,Books,344.48,215.41,289,91
404,Profound asymmetric policy,Home,149.88,105.66,173,94
405,Optimized homogeneous circuit,Beauty,457.12,246.06,201,29
406,Adaptive 3rdgeneration orchestration,,367.78,135.47,482,20
407,Decentralized leadingedge complexity,Books,261.22,119.26,470,19
408,Decentralized optimizing artificial intelligence,Sports,INVALID,176.34,25,41
409,Progressive actuating knowledgebase,Toys,277.13,166.46,193,47
410,Cross-group regional encoding,Toys,199.18,139.4,96,99
411,Customizable 4thgeneration alliance,Sports,18.51,10.95,169,18
412,Reactive methodical complexity,Toys,31.43,13.48,336,70
413,Business-focused executive project,Beauty,47.89,23.73,404,43
414,Enterprise-wide exuding model,Clothing,482.61,300.66,277,52
415,Reactive fresh-thinking data-warehouse,Books,271.14,193.74,431,30
416,Configurable intangible website,Clothing,18.53,9.66,15,28
417,Fully-configurable neutral flexibility,Sports,268.8,125.12,417,80
418,Public-key scalable complexity,Beauty,265.81,146.49,448,26
419,Self-enabling static moratorium,Beauty,331.21,229.17,497,24
420,Front-line homogeneous implementation,Beauty,253.95,89.87,493,70
421,Cross-platform grid-enabled focus group,Books,480.93,216.28,50,26
422,Persistent optimizing emulation,Home,278.02,153.2,494,68
423,,Home,380.03,271.05,391,56
424,,Sports,269.42,188.49,303,35
425,Grass-roots exuding attitude,Home,9.52,6.14,122,26
426,Customer-focused clear-thinking matrices,Books,141.98,57.07,364,13
427,Multi-channeled 6thgeneration budgetary management,Home,100.77,67.25,243,43
428,,Toys,389.55,269.04,239,99
429,Automated logistical parallelism,Books,INVALID,192.65,370,43
430,Automated next generation moratorium,Sports,219.09,79.53,458,67
431,Organized holistic alliance,Clothing,348.11,178.11,448,41
432,Managed needs-based Graphical User Interface,Books,407.41,267.14,17,54
433,Ergonomic interactive complexity,Home,201.45,143.67,180,50
434,Programmable executive open system,Clothing,432.17,185.02,260,98
435,Versatile solution-oriented monitoring,Sports,368.05,236.2,224,98
436,Balanced fresh-thinking hardware,Beauty,395.75,144.7,176,34
437,Synergized explicit paradigm,Toys,350.8,218.66,114,40
438,Assimilated dedicated paradigm,Home,INVALID,188.82,331,40
439,De-engineered 3rdgeneration orchestration,Books,373.57,132.51,199,18
440,Optimized full-range methodology,Toys,347.57,203.2,216,31
441,Switchable 24/7 info-mediaries,Home,437.03,240.64,392,57
442,Cross-group didactic ability,Home,193.37,99.88,182,37
443,Customizable real-time adapter,Books,174.38,118.31,356,93
444,Centralized zero administration standardization,Sports,316.34,230.67,293,50
445,Realigned cohesive intranet,Beauty,277.21,152.1,85,87
446,Adaptive mission-critical instruction set,Beauty,430.8,273.58,186,97
447,Ergonomic 3rdgeneration focus group,Clothing,123.4,57.57,134,35
448,Reverse-engineered asynchronous extranet,Books,120.11,125.35,50,97
449,Intuitive well-modulated artificial intelligence,Electronics,115.09,56.8,157,36
450,Synergistic demand-driven alliance,Clothing,22.71,10.72,325,40
451,Organic even-keeled model,Sports,220.64,142.25,405,58
452,Centralized executive secured line,Beauty,395.55,283.77,11,54
